,AGE,SEX,FTPT,GOVTOF2,SC20MMJ,TTUSHR,GRSSWK,DISEA,ETHUKEUL,HIQUL22D
10,45,2,1,10,1,40,865,2,1,1
12,18,1,1,10,5,40,230,2,1,3
15,65,2,2,10,4,30,500,2,1,1
24,59,2,1,10,1,56,1163,2,1,4
33,57,1,1,10,2,40,900,2,1,1
34,56,2,1,10,2,40,615,2,1,4
43,24,2,1,10,2,50,288,2,1,1
46,53,2,2,10,9,27,308,2,1,1
47,50,1,1,10,3,43,885,2,1,4
48,20,1,1,10,4,40,250,2,1,3
50,85,2,2,10,7,6,70,1,1,5
78,51,2,1,10,6,38,558,2,1,3
91,62,1,1,10,9,40,346,2,1,3
105,64,1,2,10,3,8,106,1,1,2
107,53,2,1,10,2,46,808,2,1,1
109,22,1,1,10,8,35,400,1,1,4
119,64,2,2,10,7,20,138,1,1,3
127,42,2,2,10,4,17,231,2,1,4
128,43,1,1,10,1,62,1250,2,1,3
166,52,2,1,10,2,53,895,1,1,1
170,49,2,2,10,6,18,164,1,1,3
229,41,2,1,10,1,48,1635,2,1,1
230,43,1,1,10,2,40,2404,2,1,1
231,40,2,1,10,4,38,529,1,1,1
232,41,1,1,10,5,60,760,2,1,3
271,44,2,1,10,6,36,400,2,1,3
277,53,1,1,10,3,32,1058,2,1,1
290,57,1,1,10,5,37,577,2,1,1
313,63,1,1,10,9,48,500,2,1,3
316,57,2,1,10,3,40,1308,2,1,1
329,56,2,1,10,6,40,462,2,1,1
330,54,1,1,10,6,32,327,2,1,4
338,43,1,1,10,9,52,519,2,1,3
339,43,2,1,10,9,32,548,2,1,1
341,56,1,1,10,8,60,865,2,1,4
350,46,2,1,10,3,40,519,2,1,3
351,43,1,1,10,5,40,468,2,1,4
358,34,1,1,10,2,37,1115,1,1,1
369,61,1,2,10,5,22,323,1,1,5
378,49,1,1,10,2,38,1567,2,1,1
385,70,2,2,10,6,25,277,2,1,5
397,62,2,1,10,1,37,1154,2,1,1
398,61,1,1,10,3,47,654,2,1,3
415,59,2,1,10,4,40,865,2,1,1
417,64,2,1,10,3,38,288,2,1,3
421,43,2,1,10,2,35,827,2,1,3
422,37,1,1,10,8,65,865,1,1,5
423,45,2,1,10,1,48,1538,2,1,2
424,45,1,1,10,3,37,1000,2,1,2
425,37,1,1,10,1,37,1217,2,1,1
426,38,2,1,10,2,37,1096,2,1,1
439,33,1,2,10,3,38,249,2,1,4
440,34,2,2,10,3,28,265,1,1,3
445,30,1,1,10,5,41,424,2,1,4
446,62,1,2,10,8,21,231,1,1,4
454,59,2,1,10,6,37,508,2,1,4
455,72,1,1,10,8,40,615,2,1,7
468,30,1,1,10,4,46,981,2,7,1
469,33,2,2,10,3,30,865,2,1,1
472,50,1,1,10,5,35,529,1,1,3
525,55,2,2,10,3,28,358,1,1,1
526,52,1,2,10,7,26,275,2,1,3
527,51,1,1,10,7,40,492,1,1,4
534,43,2,2,10,4,23,232,2,1,4
535,42,1,1,10,1,42,1442,2,1,1
537,63,2,2,10,4,28,473,2,1,4
539,59,1,1,10,2,44,923,2,1,3
540,58,2,2,10,7,30,456,2,1,4
541,23,1,1,10,9,38,485,2,1,2
598,46,2,2,10,4,18,254,2,2,2
599,46,1,1,10,2,40,852,2,1,1
610,52,2,2,10,6,16,173,1,1,3
652,24,1,1,10,2,46,462,2,1,3
653,25,2,1,10,7,38,462,1,1,3
660,27,2,1,10,7,16,435,1,1,1
665,62,2,2,10,2,7,88,1,1,1
667,21,1,2,10,7,4,16,2,1,3
687,44,2,2,10,2,26,600,2,1,1
706,38,1,1,10,5,60,481,2,1,3
727,36,1,1,10,1,40,1058,2,1,1
737,40,2,2,10,6,15,172,2,1,5
739,63,2,2,10,7,30,462,2,1,1
